sku,handle,pista_original,pista_idioma,marca_detectada,modelo_detectado,generacion_detectada,anios_detectados,pista_normalizada,estado_pista,motivo_estado,requiere_traduccion,verificado_por,fecha_verificacion
OYL260416001,oyl260416001-18-mercedes-benz,BENZ S350,lat,Mercedes-Benz,S350,,,Mercedes-Benz S350,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416002,oyl260416002-18-volkswagen,VWPassat,lat,Volkswagen,Passat,,,Volkswagen Passat,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416003,oyl260416003-17-audi,AUDIA6L-2012,lat,Audi,A6L,,2012,Audi A6L 2012,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416004,oyl260416004-18-audi,AUDIA6L,lat,Audi,A6L,,,Audi A6L,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416005,oyl260416005-16-volkswagen,VWPassat领驭 2005,mixto,Volkswagen,Passat,,2005,Volkswagen Passat 2005,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416006,oyl260416006-17-mercedes-benz,BENZ C200 2015,lat,Mercedes-Benz,C200,,2015,Mercedes-Benz C200 2015,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416007,oyl260416007-18-volkswagen,VWPassat 2016,lat,Volkswagen,Passat,,2016,Volkswagen Passat 2016,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416008,oyl260416008-18-volkswagen,VWMagotan2017,lat,Volkswagen,Magotan,,2017,Volkswagen Magotan 2017,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416009,oyl260416009-19-audi,AUDIRS7 2016,lat,Audi,RS7,,2016,Audi RS7 2016,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416010,oyl260416010-18-volkswagen,VWPassat 2019,lat,Volkswagen,Passat,,2019,Volkswagen Passat 2019,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416011,oyl260416011-18-mercedes-benz,BENZ C级 威霆,mixto,Mercedes-Benz,C,,,Mercedes-Benz C,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416012,oyl260416012-18-volkswagen,VW途岳,mixto,Volkswagen,,,,Volkswagen,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416013,oyl260416013-18-mercedes-benz,BENZ E级,mixto,Mercedes-Benz,E,,,Mercedes-Benz E,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416014,oyl260416014-18-bmw,BMW 3系前轮 2019,mixto,BMW,3,,2019,BMW 3 2019,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416015,oyl260416015-18-bmw,BMW 3系后轮 2019,mixto,BMW,3,,2019,BMW 3 2019,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416016,oyl260416016-17-audi,AUDIA4/改装车型,mixto,Audi,A4,,,Audi A4,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416017,oyl260416017-18-vehiculos-europeos,改装,zh,,,,,,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416018,oyl260416018-19-audi,AUDI,lat,Audi,,,,Audi,pista_generica,"solo indica marca o ""Consultar"": no identifica modelo ni generacion",no,,
OYL260416019,oyl260416019-19-vehiculos-europeos,改装,zh,,,,,,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416020,oyl260416020-20-audi,AUDIA8/Q7,lat,Audi,A8/Q7,,,Audi A8/Q7,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416021,oyl260416021-21-audi,AUDIA8/Q7,lat,Audi,A8/Q7,,,Audi A8/Q7,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416022,oyl260416022-18-bmw,BMW 5系,mixto,BMW,5,,,BMW 5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416023,oyl260416023-18-bmw,BMW 730Li,lat,BMW,730Li,,,BMW 730Li,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416024,oyl260416024-20-bmw,BMW *5后轮,mixto,BMW,*5,,,BMW *5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416025,oyl260416025-20-bmw,BMW *5后轮,mixto,BMW,*5,,,BMW *5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416026,oyl260416026-19-mercedes-benz,BENZ,lat,Mercedes-Benz,,,,Mercedes-Benz,pista_generica,"solo indica marca o ""Consultar"": no identifica modelo ni generacion",no,,
OYL260416027,oyl260416027-19-mercedes-benz,BENZ,lat,Mercedes-Benz,,,,Mercedes-Benz,pista_generica,"solo indica marca o ""Consultar"": no identifica modelo ni generacion",no,,
OYL260416028,oyl260416028-20-mercedes-benz,BENZ,lat,Mercedes-Benz,,,,Mercedes-Benz,pista_generica,"solo indica marca o ""Consultar"": no identifica modelo ni generacion",no,,
OYL260416029,oyl260416029-20-mercedes-benz,BENZ,lat,Mercedes-Benz,,,,Mercedes-Benz,pista_generica,"solo indica marca o ""Consultar"": no identifica modelo ni generacion",no,,
OYL260416030,oyl260416030-21-mercedes-benz,BENZ,lat,Mercedes-Benz,,,,Mercedes-Benz,pista_generica,"solo indica marca o ""Consultar"": no identifica modelo ni generacion",no,,
OYL260416031,oyl260416031-21-mercedes-benz,BENZ,lat,Mercedes-Benz,,,,Mercedes-Benz,pista_generica,"solo indica marca o ""Consultar"": no identifica modelo ni generacion",no,,
OYL260416032,oyl260416032-22-mercedes-benz,BENZ GLS/GLE,lat,Mercedes-Benz,GLS/GLE,,,Mercedes-Benz GLS/GLE,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416033,oyl260416033-22-mercedes-benz,BENZ GLS/GLE,lat,Mercedes-Benz,GLS/GLE,,,Mercedes-Benz GLS/GLE,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416034,oyl260416034-19-mercedes-benz,BENZ,lat,Mercedes-Benz,,,,Mercedes-Benz,pista_generica,"solo indica marca o ""Consultar"": no identifica modelo ni generacion",no,,
OYL260416035,oyl260416035-19-mercedes-benz,BENZ,lat,Mercedes-Benz,,,,Mercedes-Benz,pista_generica,"solo indica marca o ""Consultar"": no identifica modelo ni generacion",no,,
OYL260416036,oyl260416036-19-mercedes-benz,BENZ,lat,Mercedes-Benz,,,,Mercedes-Benz,pista_generica,"solo indica marca o ""Consultar"": no identifica modelo ni generacion",no,,
OYL260416037,oyl260416037-20-mercedes-benz,BENZ,lat,Mercedes-Benz,,,,Mercedes-Benz,pista_generica,"solo indica marca o ""Consultar"": no identifica modelo ni generacion",no,,
OYL260416038,oyl260416038-22-mercedes-benz,BENZ G500/G63,lat,Mercedes-Benz,G500/G63,,,Mercedes-Benz G500/G63,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416039,oyl260416039-22-mercedes-benz,BENZ G500/G63,lat,Mercedes-Benz,G500/G63,,,Mercedes-Benz G500/G63,pista_sin_verificar,"pista legible y especifica, pendiente de validacion tecnica",no,,
OYL260416040,oyl260416040-18-bmw,BMW 5系,mixto,BMW,5,,,BMW 5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
OYL260416041,oyl260416041-17-bmw,BMW 5系,mixto,BMW,5,,,BMW 5,pista_ilegible,contiene texto del proveedor en chino sin traducir,si,,
