familia,referencias_totales,referencias_publicables,skus_publicables,skus_excluidos,medidas,diametros,anclajes,acabados,img_ancho_min,img_alto_min,img_juicio,p_foto,p_tecnica,p_variedad,p_anclajes,p_coherencia,p_disponibilidad,puntuacion,problemas,notas_proveedor
wheel-design-074,12,12,OYL260416282|OYL260416283|OYL260416284|OYL260416285|OYL260416286|OYL260416287|OYL260416288|OYL260416289|OYL260416290|OYL260416291|OYL260416292|OYL260416293,ninguno,18x8.5|18x9.0|19x8.5|19x9.5|20x8.5|20x9.5,18|19|20,5x112|5x120,B|MB,728,678,"Apta en tarjeta y en galería, móvil y escritorio",35,20,20,10,10,0,95,"El proveedor escribe el mismo buje de dos formas (5x112: 66.5, 66.56 mm; 5x120: 72.56, 72.6 mm); confirmar el valor exacto antes del montaje // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW 5系|BMW M/改
wheel-design-059,8,8,OYL260416201|OYL260416202|OYL260416203|OYL260416204|OYL260416205|OYL260416206|OYL260416207|OYL260416208,ninguno,19x8.0|19x9.0|20x8.5|20x9.5,19|20,5x112|5x120,B|MB,624,591,"Apta en tarjeta y en galería, móvil y escritorio",35,20,16,10,10,0,91,"El proveedor escribe el mismo buje de dos formas (5x120: 72.5, 72.56 mm); confirmar el valor exacto antes del montaje // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW 3/5系|BMW M4/改
wheel-design-048,7,7,OYL260416157|OYL260416158|OYL260416159|OYL260416160|OYL260416161|OYL260416162|OYL260416163,ninguno,19x8.5|19x9.5|20x8.5|20x9.5,19|20,5x112|5x120,MB,897,906,"Apta en tarjeta y en galería, móvil y escritorio",35,20,16,10,10,0,91,"Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW 5系7系
wheel-design-049,7,7,OYL260416164|OYL260416165|OYL260416166|OYL260416167|OYL260416168|OYL260416169|OYL260416170,ninguno,20x8.5|20x9.5|21x10.5|21x9.0,20|21,5x112|5x120,MB,915,873,"Apta en tarjeta y en galería, móvil y escritorio",35,20,16,10,10,0,91,"Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BMW 7系
wheel-design-041,13,13,OYL260416113|OYL260416114|OYL260416115|OYL260416116|OYL260416117|OYL260416118|OYL260416119|OYL260416120|OYL260416121|OYL260416122|OYL260416123|OYL260416124|OYL260416125,ninguno,18x8.0|18x9.0|19x8.0|19x9.0|20x8.5|20x9.5,18|19|20,5x112,MB|MBI|MIB,893,890,"Apta en tarjeta y en galería, móvil y escritorio",35,20,20,5,10,0,90,"El proveedor escribe el mismo buje de dos formas (5x112: 66.5, 66.6 mm); confirmar el valor exacto antes del montaje // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ E级|Consultar
wheel-design-040,9,9,OYL260416104|OYL260416105|OYL260416106|OYL260416107|OYL260416108|OYL260416109|OYL260416110|OYL260416111|OYL260416112,ninguno,18x8.0|18x9.0|19x9.5|20x8.5|20x9.5,18|19|20,5x112,MB|MG,916,873,"Apta en tarjeta y en galería, móvil y escritorio",35,20,20,5,10,0,90,"Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ S级新
wheel-design-044,11,9,OYL260416135|OYL260416136|OYL260416137|OYL260416138|OYL260416141|OYL260416142|OYL260416143|OYL260416144|OYL260416145,OYL260416139|OYL260416140,19x8.5|19x9.5|20x8.5|20x9.5|21x10.0|21x11.0|22x11.5|22x9.5,19|20|21|22,5x112,MB|MG,882,868,"Apta en tarjeta y en galería, móvil y escritorio",35,20,20,5,10,0,90,"Excluidas de la publicación: OYL260416139 (duplicado), OYL260416140 (duplicado) // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ GLS/GLE
wheel-design-043,8,8,OYL260416127|OYL260416128|OYL260416129|OYL260416130|OYL260416131|OYL260416132|OYL260416133|OYL260416134,ninguno,18x8.0|18x9.0|19x8.5|19x9.5|20x8.5|20x9.5|21x10.0|21x9.0,18|19|20|21,5x112,MB,908,888,"Apta en tarjeta y en galería, móvil y escritorio",35,20,20,5,10,0,90,"Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ S级贴AMG标
wheel-design-038,8,6,OYL260416094|OYL260416096|OYL260416097|OYL260416099|OYL260416100|OYL260416101,OYL260416095|OYL260416098,17x7.5|18x8.0|19x8.5|20x9.0|21x9.0,17|18|19|20|21,5x112,MB+L|YBZ,927,899,"Apta en tarjeta y en galería, móvil y escritorio",35,20,20,5,10,0,90,"El proveedor escribe el mismo buje de dos formas (5x112: 66.45, 66.5 mm); confirmar el valor exacto antes del montaje // Excluidas de la publicación: OYL260416095 (ficha incompleta), OYL260416098 (ficha incompleta) // Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",AUDIA6/A8|Consultar
wheel-design-107,4,4,OYL260416383|OYL260416384|OYL260416385|OYL260416386,ninguno,19x8.5|19x9.5|20x8.5|20x9.5,19|20,5x112,MIYB,619,593,"Apta en tarjeta y en galería, móvil y escritorio",35,20,16,5,10,0,86,"Sin disponibilidad documentada: inventario sin seguimiento, sin coste de proveedor",BENZ AMG C63
